keys,_notes,en,zh_Hans
Dialogues,Editor -> Tab Bar,Dialogues,对话
Characters,Editor -> Tab Bar,Characters,角色
Variables,Editor -> Tab Bar,Variables,变量
Settings,Editor -> Tab Bar,Settings,设置
Search files...,Editor -> Side Bar,Search files...,搜索文件...
New dialogue,Editor -> Side Bar,New dialogue,新建对话
New character,Editor -> Side Bar,New character,新建角色
Quick Load,Editor -> Side Bar,Quick Load,快速加载
Save current file,Editor -> Side Bar,Save current file,保存当前文件
Save,Editor -> Side Bar,Save,保存
Save As...,Editor -> Side Bar,Save As...,另存为...
Save a File,Editor -> Side Bar,Save a File,保存文件
Close,Editor -> Side Bar,Close,关闭
Close All,Editor -> Side Bar,Close All,全部关闭
Emoji & Symbols,Editor -> Side Bar,Emoji & Symbols,表情和符号
Cut,Editor -> Side Bar,Cut,剪切
Copy,Editor -> Side Bar,Copy,复制
Paste,Editor -> Side Bar,Paste,粘贴
Select All,Editor -> Side Bar,Select All,全选
Clear,Editor -> Side Bar,Clear,清除
Undo,Editor -> Side Bar,Undo,撤销
Redo,Editor -> Side Bar,Redo,重做
Text Writing Direction,Editor -> Side Bar,Text Writing Direction,文本书写方向
Same as Layout Direction,Editor -> Side Bar,Same as Layout Direction,与布局方向相同
Auto-Detect Direction,Editor -> Side Bar,Auto-Detect Direction,自动检测方向
Left-to-Right,Editor -> Side Bar,Left-to-Right,从左到右
Right-to-Left,Editor -> Side Bar,Right-to-Left,从右到左
Display Control Characters,Editor -> Side Bar,Display Control Characters,显示控制字符
Insert Control Character,Editor -> Side Bar,Insert Control Character,插入控制字符
"[center][wave]Create or open a [color=orange]dialogue[/color] to start!
[center]\( ^-^)/

",Editor -> Dialogue Panel -> Start Panel,"[center][wave]Create or open a [color=orange]dialogue[/color] to start!
[center]\( ^-^)/

","[center][wave]创建或打开一个[color=orange]对话[/color]来开始！
[center]\( ^-^)/

"
New Dialogue,Editor -> Dialogue Panel -> Start Panel,New Dialogue,新建对话
